,Gasolina,Inflação,Educação,Vacina,Dólar,Aposentadoria,Violência,Religião,Água,CLT,Covid,LGBT,Auxílio Brasil,Fome,PEC Kamikaze
Lula,69,4,116,156,8,50,77,11,53,1270,196,32,4,419,0
Jair M. Bolsonaro,26,0,85,226,1,19,53,6,142,744,456,63,1,38,0
André Janones,11,0,11,104,0,8,39,10,43,214,195,5,0,126,0
Simone Tebet,1,0,15,34,0,6,9,5,22,94,67,1,0,14,0
Vera,14,1,13,89,0,14,92,0,24,643,238,67,0,93,0
Luciano Bivar,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Leo Péricles,1,0,5,9,0,0,4,0,4,99,63,11,0,10,0
Pablo Marçal 🇧🇷,0,0,2,0,3,0,0,4,2,15,2,0,0,1,0
Sofia Manzano PCB,3,1,7,52,0,4,12,1,9,225,30,11,0,25,0
José Maria Eymael,0,0,4,0,0,14,4,3,18,264,0,2,0,4,0
