,Gasolina,Inflação,Educação,Vacina,Dólar,Aposentadoria,Violência,Religião,Água,Trabalho,Covid,LGBT,Auxílio Brasil,Fome,PEC Kamikaze
Lula 13,69,4,116,156,8,50,76,11,53,1268,196,32,4,419,0
Jair M. Bolsonaro,26,0,84,226,1,19,53,6,142,743,456,63,1,38,0
Simone Tebet,1,0,15,34,0,6,9,5,22,94,67,1,0,14,0
Felipe D'Avila | 30,10,0,18,56,1,1,12,7,4,137,112,2,0,25,13
Ciro Gomes 12,42,1,44,150,5,23,48,3,28,416,259,24,0,53,0
Leo Pericles 80,1,0,5,10,0,0,4,0,4,99,63,11,0,10,0
Pablo Marçal 90 🇧🇷,0,0,2,0,3,0,0,4,2,15,2,0,0,1,0
Sofia Manzano 21,3,1,6,52,0,4,12,1,9,224,30,10,0,25,0
José Maria Eymael,0,0,4,0,0,14,4,3,17,260,0,2,0,4,0
Vera 16,14,1,13,89,0,14,92,0,24,642,237,67,0,93,0
SorayaPresidente,1,0,10,20,0,11,8,2,33,107,72,2,0,8,0
